codigo;descripcion;precio;unidades;um
1000;DUCADOS AZUL BLANDO;6.20;10;Cajetilla
1001;FORTUNA ORIGINAL BLANDO (20);5.95;10;Cajetilla
1004;CHESTERFIELD CLASSIC RED DURO;6.10;10;Cajetilla
10048;ROM Y JUL MINI 20 ESP PC BY;9.60;5;Estuche
10050;ROM Y JUL CLUB 20 ESP PC BY;12.20;5;Caja
1006;WINSTON CLASSIC KS BOX;6.00;10;Cajetilla
1008;LUCKY STRIKE RED;5.85;10;Cajetilla
1009;CAMEL FILTER BOX 20;6.10;10;Cajetilla
1011;NOBEL DURO;5.95;10;Cajetilla
1012;B.N. CLASICO DURO;6.20;10;Cajetilla
1015;DUCADOS AZUL DURO;6.20;10;Cajetilla
1017;CALYPSO REIG 15  NL  (10);7.60;10;Estuche
10170;DAVIDOFF ANIVER ENTREACTO 4;46.00;1;Estuche
1018;CALYPSO REIG 15 MINOR NL(10);5.50;10;Estuche
1020;FARIAS SUPERIORES (25);47.50;1;Caja
1021;DUCADOS AZUL/BLANCO BLANDO;6.20;10;Cajetilla
1022;FORTUNA ORIGINAL (20);5.95;10;Cajetilla
1023;HERENCIA BLANDO;6.35;10;Cajetilla
10257;MONTECRISTO N.5   (10) NL;91.00;1;Caja
1026;ROTHMANS OF LONDON;5.50;10;Cajetilla
1028;NOBEL BLANDO;5.80;10;Cajetilla
1030;CALYPSO REIG MINI    NL(20);6.60;5;Estuche
1031;ROYAL CROWN FILTER;6.25;10;Cajetilla
10335;LA PAZ WILDE MINIATURAS  20;6.70;5;Lata
1036;FORTUNA ORIGINAL BLUE (AZUL) 20;5.95;10;Cajetilla
10415;VEGAFINA CLASSIC MINUTOS (8);15.20;5;Lata
10416;VEGAFINA MINUTOS 25;47.50;1;Caja
10420;MONTECRISTO PURITOS 25 BY;46.25;1;Estuche
10421;MONTECRISTO PURITOS 5 BY;9.25;10;Estuche
10468;ERINMORE FLAKE LATA (5*50)BY;11.50;5;Lata
1047;ROTHMANS OF LONDON WHITE AND BLUE;5.50;10;Cajetilla
10474;ERINMORE MIXTURE LATA (5*50G) BY;10.50;5;Lata
10488;DAVIDOFF CLUB CIGARILLO 10;12.20;5;Lata
1049;CAMEL BLUE 20;6.10;10;Cajetilla
10491;NEOS COUNTRY CIGARILLO 20;8.20;10;Lata
10492;NEOS COUNTRY MINI  20;6.60;5;Lata
1051;CHESTERFIELD CL BLUE DURO;6.10;10;Cajetilla
10518;DENIM RED AMERICAN BLEND;4.50;10;Cajetilla
10519;EXCITE BLUE 20;4.70;10;Cajetilla
10520;EXCITE RED DURO 20;4.70;10;Cajetilla
10530;BULLBRAND NEGRO CLASICO 20;4.80;10;Cajetilla
10531;MANITOU NATIVO BLEND N8 RED (20);4.80;10;Cajetilla
10537;MECANICOS EXTRA FILTRO;4.80;10;Cajetilla
1056;B.N. BEIGE DURO;6.20;10;Cajetilla
1064;GUAJIRO BREVAS.           (50);32.50;1;Caja
10690;BORKUM RIFF ORANGE  50 G;8.10;5;Bolsa
10715;RAFAEL GONZ. PETIT CORONAS25NL;147.50;1;Caja
10717;TRINIDAD REYES 12 NL;408.00;1;Caja
1072;MONTECRISTO N.4  (25);317.50;1;Caja
10723;ROTHMANS OF LONDON SILVER (20);5.50;10;Cajetilla
1074;FORTUNA ORIGINAL SILVER (20);5.95;10;Cajetilla
10768;AGIO MINI MEHARI'S ECUADOR 20 NL;6.30;10;Estuche
1077;FARIAS CLUB (20);5.85;10;Estuche
1080;GUAJIRO PALMEROS          (50);29.00;1;Estuche
1082;F.SAVANE PETIT CIGARE    (20);5.90;10;Estuche
10845;FLEUR DU PAYS N.1  BLOND 40 GR NL;11.10;10;Bolsa
10846;FLEUR DU PAYS N.1 BLOND 200 GR NL;52.00;4;Lata
1085;LUCKY STRIKE BLUE;5.85;10;Cajetilla
10866;BULLBRAND RUBIO 20 NL;4.80;10;Cajetilla
1090;DON JULIÁN Nº5 (5);11.00;5;Estuche
1091;LUCKY STRIKE RED BLANDO;5.75;10;Cajetilla
1092;CAMEL FILTER SOFT;6.00;10;Cajetilla
1093;LA PAZ WILDE CILLOS   (20);9.10;5;Lata
1095;R 1 ROJO;6.70;10;Cajetilla
1096;GUAJIRO TROMPETAS         (20).;8.60;5;Estuche
1097;HERENCIA DURO;6.35;10;Cajetilla
1098;SUPERKINGS;7.90;10;Cajetilla
1102;LA DALIA REIG 7 MINOR  NL  (10);5.50;10;Estuche
1103;GUAJIRO ESP.GUAJIRO.    (50);29.00;1;Caja
1105;WEST ROJO (20);5.10;10;Cajetilla
1108;JPS AMERICAN BLEND BLUE STREAM (20);5.85;10;Cajetilla
1112;REGAL KS;7.90;10;Cajetilla
1117;R 1 AZUL;6.70;10;Cajetilla
1120;NOBEL 0,1;6.00;10;Cajetilla
1122;WEST SILVER;5.55;10;Cajetilla
1128;QUINTERO BREVAS           (25);65.00;1;Caja
1129;GUAJIRO SEÑORITAS         (50);16.50;1;Estuche
1131;LAMBERT & BUTLER KS;7.75;10;Cajetilla
1137;RAFAEL GONZ. PANETELAS EXT. (25);67.50;1;Caja
1140;WEST AZUL (20);5.10;10;Cajetilla
1144;SILK CUT PURPLE;7.90;10;Cajetilla
1149;LA PAZ MINI WILDE CILLOS (20);7.80;5;Lata
1153;MONTECRISTO MINI (20);12.40;5;Estuche
1156;AGIO MEHARI'S  JAVA    (20);7.30;10;Estuche
1158;GAULOISES RUBIO ROJO;5.85;10;Cajetilla
