codigo;descripcion;unidades;um;precio
1000;DUCADOS AZUL BLANDO;10;Cajetilla;6,20
1001;FORTUNA ORIGINAL BLANDO (20);10;Cajetilla;5,95
1004;CHESTERFIELD CLASSIC RED DURO;10;Cajetilla;6,10
10048;ROM Y JUL MINI 20 ESP PC BY;5;Estuche;9,60
10050;ROM Y JUL CLUB 20 ESP PC BY;5;Caja;12,20
1006;WINSTON CLASSIC KS BOX;10;Cajetilla;6,00
1008;LUCKY STRIKE RED;10;Cajetilla;5,85
1009;CAMEL FILTER BOX 20;10;Cajetilla;6,10
1011;NOBEL DURO;10;Cajetilla;5,95
1012;B.N. CLASICO DURO;10;Cajetilla;6,20
1015;DUCADOS AZUL DURO;10;Cajetilla;6,20
1017;CALYPSO REIG 15  NL  (10);10;Estuche;7,60
10170;DAVIDOFF ANIVER ENTREACTO 4;1;Estuche;46,00
1018;CALYPSO REIG 15 MINOR NL(10);10;Estuche;5,50
1020;FARIAS SUPERIORES (25);1;Caja;47,50
1021;DUCADOS AZUL/BLANCO BLANDO;10;Cajetilla;6,20
1022;FORTUNA ORIGINAL (20);10;Cajetilla;5,95
1023;HERENCIA BLANDO;10;Cajetilla;6,35
10257;MONTECRISTO N.5   (10) NL;1;Caja;91,00
1026;ROTHMANS OF LONDON;10;Cajetilla;5,50
1028;NOBEL BLANDO;10;Cajetilla;5,80
1030;CALYPSO REIG MINI    NL(20);5;Estuche;6,60
1031;ROYAL CROWN FILTER;10;Cajetilla;6,25
10335;LA PAZ WILDE MINIATURAS  20;5;Lata;6,70
1036;FORTUNA ORIGINAL BLUE (AZUL) 20;10;Cajetilla;5,95
10415;VEGAFINA CLASSIC MINUTOS (8);5;Lata;15,20
10416;VEGAFINA MINUTOS 25;1;Caja;47,50
10420;MONTECRISTO PURITOS 25 BY;1;Estuche;46,25
10421;MONTECRISTO PURITOS 5 BY;10;Estuche;9,25
10468;ERINMORE FLAKE LATA (5*50)BY;5;Lata;11,50
1047;ROTHMANS OF LONDON WHITE AND BLUE;10;Cajetilla;5,50
10474;ERINMORE MIXTURE LATA (5*50G) BY;5;Lata;10,50
10488;DAVIDOFF CLUB CIGARILLO 10;5;Lata;12,20
1049;CAMEL BLUE 20;10;Cajetilla;6,10
10491;NEOS COUNTRY CIGARILLO 20;10;Lata;8,20
10492;NEOS COUNTRY MINI  20;5;Lata;6,60
1051;CHESTERFIELD CL BLUE DURO;10;Cajetilla;6,10
10518;DENIM RED AMERICAN BLEND;10;Cajetilla;4,50
10519;EXCITE BLUE 20;10;Cajetilla;4,70
10520;EXCITE RED DURO 20;10;Cajetilla;4,70
10530;BULLBRAND NEGRO CLASICO 20;10;Cajetilla;4,80
10531;MANITOU NATIVO BLEND N8 RED (20);10;Cajetilla;4,80
10537;MECANICOS EXTRA FILTRO;10;Cajetilla;4,80
1056;B.N. BEIGE DURO;10;Cajetilla;6,20
1064;GUAJIRO BREVAS.           (50);1;Caja;32,50
10690;BORKUM RIFF ORANGE  50 G;5;Bolsa;8,10
10715;RAFAEL GONZ. PETIT CORONAS25NL;1;Caja;147,50
10717;TRINIDAD REYES 12 NL;1;Caja;408,00
1072;MONTECRISTO N.4  (25);1;Caja;317,50
10723;ROTHMANS OF LONDON SILVER (20);10;Cajetilla;5,50
1074;FORTUNA ORIGINAL SILVER (20);10;Cajetilla;5,95
10768;AGIO MINI MEHARI'S ECUADOR 20 NL;10;Estuche;6,30
1077;FARIAS CLUB (20);10;Estuche;5,85
1080;GUAJIRO PALMEROS          (50);1;Estuche;29,00
1082;F.SAVANE PETIT CIGARE    (20);10;Estuche;5,90
10845;FLEUR DU PAYS N.1  BLOND 40 GR NL;10;Bolsa;11,10
10846;FLEUR DU PAYS N.1 BLOND 200 GR NL;4;Lata;52,00
1085;LUCKY STRIKE BLUE;10;Cajetilla;5,85
10866;BULLBRAND RUBIO 20 NL;10;Cajetilla;4,80
1090;DON JULIÁN Nº5 (5);5;Estuche;11,00
1091;LUCKY STRIKE RED BLANDO;10;Cajetilla;5,75
1092;CAMEL FILTER SOFT;10;Cajetilla;6,00
1093;LA PAZ WILDE CILLOS   (20);5;Lata;9,10
1095;R 1 ROJO;10;Cajetilla;6,70
1096;GUAJIRO TROMPETAS         (20).;5;Estuche;8,60
1097;HERENCIA DURO;10;Cajetilla;6,35
1098;SUPERKINGS;10;Cajetilla;7,90
1102;LA DALIA REIG 7 MINOR  NL  (10);10;Estuche;5,50
1103;GUAJIRO ESP.GUAJIRO.    (50);1;Caja;29,00
1105;WEST ROJO (20);10;Cajetilla;5,10
1108;JPS AMERICAN BLEND BLUE STREAM (20);10;Cajetilla;5,85
1112;REGAL KS;10;Cajetilla;7,90
1117;R 1 AZUL;10;Cajetilla;6,70
1120;NOBEL 0,1;10;Cajetilla;6,00
1122;WEST SILVER;10;Cajetilla;5,55
1128;QUINTERO BREVAS           (25);1;Caja;65,00
1129;GUAJIRO SEÑORITAS         (50);1;Estuche;16,50
1131;LAMBERT & BUTLER KS;10;Cajetilla;7,75
1137;RAFAEL GONZ. PANETELAS EXT. (25);1;Caja;67,50
1140;WEST AZUL (20);10;Cajetilla;5,10
1144;SILK CUT PURPLE;10;Cajetilla;7,90
1149;LA PAZ MINI WILDE CILLOS (20);5;Lata;7,80
1153;MONTECRISTO MINI (20);5;Estuche;12,40
1156;AGIO MEHARI'S  JAVA    (20);10;Estuche;7,30
1158;GAULOISES RUBIO ROJO;10;Cajetilla;5,85
1171;PICADURA SELECTA         (40G);10;Bolsa;9,80
1173;MINI DAVIDOFF GOLD (20);5;Estuche;15,20
1174;GAULOISES RUBIO AZUL;10;Cajetilla;5,85
1176;AGIO MEHARI'S ECUADOR. (20);10;Estuche;7,30
1179;MONTECRISTO N.3           (25);1;Caja;415,00
1180;COHIBA MINI     (20);5;Estuche;14,90
11841;BLACK DEVIL BLACK (20);10;Cajetilla;4,90
1185;LA PAZ WILDE CIGARRO      (20);5;Estuche;13,70
1188;DUNHILL INTERNATIONAL;10;Cajetilla;7,15
1189;DON JULIÁN MINI (20);5;Estuche;7,20
1195;SUPERKINGS BLUE;10;Cajetilla;7,90
1210;GAULOISES RUBIO AMARILLO;10;Cajetilla;5,85
1218;EMBASSY Nº 1;10;Cajetilla;7,90
1223;MONTECRISTO N.5           (25);1;Caja;227,50
1230;GITANES CORTOS SIN FILTRO DURO;10;Cajetilla;7,00
1232;AGIO MEHARI'S RED ORIENT (20);10;Estuche;7,30
1234;DON JULIÁN Nº1 (5);5;Estuche;22,00
1236;GUAJIRO AROMAS            (10);10;Caja;3,80
1243;FONSECA DELICIAS          (25);1;Caja;110,00
1248;ROTHMANS BLUE;10;Cajetilla;6,90
12503;VEGAFINA CLASICC PERLA (10;1;Caja;29,50
12511;PUEBLO  30 G  FINE CUT NL;10;Bolsa;7,10
1258;JPS BLACK;10;Cajetilla;5,85
1263;JPS AMERICAN BLEND WHITE;10;Cajetilla;5,85
12669;TRABUCOS CORONAS 50 NL;1;Estuche;27,50
1272;SILK CUT WHITE;10;Cajetilla;7,90
1285;VOGUE SUPER SLIMS BLUE;10;Cajetilla;7,15
12913;LATINO HERITAGE;10;Cajetilla;4,80
1295;FONSECA COSACOS           (25);1;Caja;182,50
1299;GITANES CORTOS CON FILTRO DURO;10;Cajetilla;7,00
1306;VASCO DA GAMA Nº2 CLARO (25);1;Caja;50,00
1307;REY MUNDO DEMI TASSE      (25);1;Caja;150,00
13081;ROM Y JUL SHORT CHURCHIL 25 NL;1;Caja;530,00
13083;ROM Y JUL SHORT CHURCHIL 10 NL;1;Caja;212,00
1311;LAMBERT & BUTLER GOLD;10;Cajetilla;7,75
1314;CLUBMASTER MINI N.121 SUM.(20);10;Lata;4,70
1321;MINI DAVIDOFF             (50);1;Caja;38,00
1324;FONSECA N.1 (25);1;Caja;250,00
1332;GUAJIRO N.5               (25);1;Caja;27,50
1333;MONTECRISTO N.1           (25);1;Caja;522,50
1337;FONSECA CADETES           (25);1;Caja;107,50
1340;F.T.PARTAGAS SUPERPARTAGAS(25);1;Caja;252,50
1356;MONTECRISTO MINI (10);10;Estuche;6,30
1360;FLOR CANO PETIT CORONAS   (25);1;Caja;97,50
1362;MONTECRISTO N.2           (25);1;Caja;645,00
1365;AGIO MEHARI'S ECUADOR . (50);4;Estuche;15,60
13721;VEGAFINA MINI FILTER 20 NL;5;Lata;5,90
13729;STERLING KING SIZE;10;Cajetilla;7,20
13730;STERLING SUPERKINGS;10;Cajetilla;7,20
13772;ROM Y JUL SHORT CHURCH TUB 3NL;1;Caja;65,70
13783;PALL MALL PUERTO RICO;10;Cajetilla;5,85
13842;COHIBA CLUB (10) ESP PC NL;10;Caja;9,70
13843;MONTECRISTO CLUB (10) ESP PC NL;10;Caja;8,00
13929;ROM Y JUL PETIT JULIETA 25 NL;1;Caja;160,00
13931;BOLIVAR BELICOSOS FINOS WSL (25);1;Caja;455,00
13933;H. UPMANN CORONAS MAJOR T/AL 25 NL;1;Caja;235,00
13935;AMBER LEAF 10 X 50 G;10;Bolsa;15,50
13936;ROM Y JUL MILLE FLEURS (10) NL;1;Caja;74,00
13979;FLEUR DU PAYS N.1 BLOND 500 GR NL;1;Bolsa;130,40
14064;J.CORTES CORONA SUMATRA 100% S (10);2;Caja;33,00
14077;VILLIGER EXPORT  PRESSED (5) NL;5;Estuche;7,20
14079;VILLIGER KIEL JUNIOR  (10) NL;10;Estuche;5,50
14129;MONTECRISTO PETIT EDMUNDO (25) NL;1;Caja;457,50
14130;MONTECRISTO PETIT EDMUNDO (10);1;Caja;183,00
14134;JPS AMERICAN BLEND RED 100'S;10;Cajetilla;5,50
14138;BRANIFF NEGRO FILTER CAPA NATURAL 20;10;Estuche;3,10
1421;F.T.PARTAGAS HABANEROS    (25);1;Caja;197,50
1427;SIGNATURE BLUE      (20);5;Lata;6,10
1428;SIGNATURE ORIGINAL (20);5;Lata;6,10
1429;ROM Y JUL CORONITAS     (25);1;Caja;217,50
14443;DUCADOS MINI 20 ESP NL;10;Estuche;4,10
1445;H.W. HALF CORONAS          (5);5;Estuche;8,60
